FinancialYear,SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
2020/21,43931,31,1,5,1,2,25,25,56,28,39
2020/21,43931,32,1,4,0,2,25,25,54,27,39
2020/21,43931,33,1,3,0,1,26,26,52,26,39
2020/21,43931,34,1,6,0,1,25,25,54,27,35
2020/21,43931,35,1,8,2,1,26,26,60,30,32
2020/21,43931,36,1,11,1,1,31,31,58,29,39
2020/21,43931,37,1,-1,0,2,35,35,56,28,50
2020/21,43931,38,1,1,1,3,45,45,60,30,58
2020/21,43931,39,1,6,1,4,53,53,52,26,75
2020/21,43931,40,1,10,1,5,49,49,48,24,88
2020/21,43931,41,1,14,1,8,45,45,48,24,94
2020/21,43931,42,2,18,1,10,44,44,50,25,102
2020/21,43931,43,2,18,0,5,44,44,50,25,103
2020/21,43931,44,1,19,1,1,37,37,48,24,103
2020/21,43931,45,1,12,2,4,34,34,54,27,103
2020/21,43931,46,1,10,3,6,47,47,68,34,103
2020/21,43931,47,4,9,3,10,67,67,76,38,103
2020/21,43931,48,2,6,3,14,76,76,80,40,103
2020/21,43932,1,3,3,2,16,75,75,78,39,102
2020/21,43932,2,3,4,2,16,55,55,72,36,95
2020/21,43932,3,2,8,2,15,36,36,66,33,78
2020/21,43932,4,3,7,1,17,35,35,66,33,53
2020/21,43932,5,3,3,2,21,38,38,66,33,30
2020/21,43932,6,4,9,1,32,45,45,74,37,21
2020/21,43932,7,3,14,1,35,49,49,78,39,25
2020/21,43932,8,3,21,1,45,46,46,62,31,44
2020/21,43932,9,3,17,1,39,41,41,46,23,59
2020/21,43932,10,5,17,20,45,28,28,30,15,50
