SettlementDate,SettlementPeriod,PGCErrorPrice(£/MWh)
14/04/2020,15,11.24126667
14/04/2020,16,10.43093333
14/04/2020,17,-37.91451111
14/04/2020,18,-29.8894
14/04/2020,19,-0.441177778
14/04/2020,20,-24.04937778
14/04/2020,21,-33.63673333
14/04/2020,22,-18.88353333
14/04/2020,23,-33.63673333
14/04/2020,24,-31.18984444
14/04/2020,25,-29.97324444
14/04/2020,26,-25.59451111
14/04/2020,27,-26.75806667
14/04/2020,28,-28.69162222
14/04/2020,29,-23.66095556
14/04/2020,30,-23.91762222
14/04/2020,31,-26.55273333
14/04/2020,32,-30.40273333
14/04/2020,33,-29.66695556
14/04/2020,34,10.1442
14/04/2020,35,15.74173333
14/04/2020,36,10.79246667
14/04/2020,37,9.495933333
14/04/2020,38,-49.39606667
14/04/2020,39,-49.4474
14/04/2020,40,-49.6014
14/04/2020,41,-42.92806667
14/04/2020,42,-41.86717778
14/04/2020,43,-38.6674
14/04/2020,44,-45.30651111
14/04/2020,45,-18.56184444
14/04/2020,46,9.458533333
14/04/2020,47,8.473666667
14/04/2020,48,-9.030955556
15/04/2020,1,-9.835177778
15/04/2020,2,-10.84473333
15/04/2020,3,-14.28406667
15/04/2020,4,-13.32584444
15/04/2020,5,-5.0954
15/04/2020,6,-10.72495556
15/04/2020,7,-5.7114
15/04/2020,8,-2.237844444
15/04/2020,9,-15.68717778
15/04/2020,10,-6.652511111
15/04/2020,11,9.221666667
15/04/2020,12,6.129933333
15/04/2020,13,-17.62073333
15/04/2020,14,-34.26984444
15/04/2020,15,-35.84406667
15/04/2020,16,-21.12851111
15/04/2020,17,-18.39073333
15/04/2020,18,-32.47317778
15/04/2020,19,-32.59295556
15/04/2020,20,-18.32228889
15/04/2020,21,17.48706667
15/04/2020,22,16.6518
15/04/2020,23,16.73906667
15/04/2020,24,15.09346667
15/04/2020,25,14.2582
15/04/2020,26,-0.441177778
15/04/2020,27,12.0142
15/04/2020,28,-27.2714
15/04/2020,29,-22.75406667
15/04/2020,30,-25.01273333
15/04/2020,31,-31.85717778
15/04/2020,32,9.682933333
15/04/2020,33,-40.01917778
15/04/2020,34,4.230155556
15/04/2020,35,4.007711111
15/04/2020,36,2.484822222
15/04/2020,37,2.484822222
15/04/2020,38,-51.07295556
15/04/2020,39,-44.60495556
15/04/2020,40,6.578733333
15/04/2020,41,9.371266667
15/04/2020,42,-26.9634
15/04/2020,43,-14.50651111
15/04/2020,44,6.215044444
15/04/2020,45,6.803133333
15/04/2020,46,8.660666667
15/04/2020,47,11.528
15/04/2020,48,11.341
16/04/2020,1,14.2956
16/04/2020,2,12.96166667
16/04/2020,3,12.9118
16/04/2020,4,-11.3632
16/04/2020,5,16.96346667
16/04/2020,6,17.72393333
16/04/2020,7,14.8192
16/04/2020,8,12.58766667
16/04/2020,9,14.42026667
16/04/2020,10,11.16646667
16/04/2020,11,-23.13051111
16/04/2020,12,12.51286667
16/04/2020,13,4.948822222
16/04/2020,14,8.91
16/04/2020,15,12.06406667
16/04/2020,16,10.87973333
16/04/2020,17,-18.88695556
16/04/2020,18,-20.99162222
16/04/2020,19,-29.99206667
16/04/2020,20,-13.1034
16/04/2020,21,20.9528
16/04/2020,22,-0.4754
16/04/2020,23,20.40426667
16/04/2020,24,20.2048
16/04/2020,25,5.9928
16/04/2020,26,-29.05095556
16/04/2020,27,-15.49895556
16/04/2020,28,25.69013333
16/04/2020,29,23.683
16/04/2020,30,-16.93628889
16/04/2020,31,-14.6588
16/04/2020,32,22.04986667
16/04/2020,33,18.84593333
16/04/2020,34,17.5494
16/04/2020,35,12.26353333
16/04/2020,36,6.790666667
16/04/2020,37,14.75686667
16/04/2020,38,15.8664
16/04/2020,39,16.47726667
16/04/2020,40,16.4648
16/04/2020,41,-17.86028889
16/04/2020,42,-7.816066667
16/04/2020,43,12.36326667
16/04/2020,44,6.229666667
16/04/2020,45,10.60546667
16/04/2020,46,24.3562
16/04/2020,47,21.56366667
16/04/2020,48,-13.17184444
17/04/2020,1,-12.89806667
17/04/2020,2,-10.0234
17/04/2020,3,10.7052
17/04/2020,4,22.73553333
17/04/2020,5,19.28226667
17/04/2020,6,20.17986667
17/04/2020,7,10.08186667
17/04/2020,8,8.137066667
17/04/2020,9,16.02846667
17/04/2020,10,14.27066667
17/04/2020,11,-16.97051111
17/04/2020,12,-17.15873333
17/04/2020,13,-33.55117778
17/04/2020,14,-30.00917778
17/04/2020,15,-0.441177778
17/04/2020,16,14.05873333
17/04/2020,17,11.25373333
17/04/2020,18,10.00706667
17/04/2020,19,9.558266667
17/04/2020,20,-0.441177778
17/04/2020,21,-0.441177778
17/04/2020,22,11.7898
17/04/2020,23,11.06673333
17/04/2020,24,-12.6414
17/04/2020,25,-23.96895556
17/04/2020,26,-31.82295556
17/04/2020,27,-27.59651111
17/04/2020,28,-27.40828889
17/04/2020,29,-9.7154
17/04/2020,30,27.049
17/04/2020,31,24.26893333
17/04/2020,32,14.30806667
17/04/2020,33,9.1718
17/04/2020,34,12.40066667
17/04/2020,35,12.07653333
17/04/2020,36,9.720333333
17/04/2020,37,11.29113333
17/04/2020,38,11.62773333
17/04/2020,39,9.184266667
17/04/2020,40,11.2288
17/04/2020,41,11.81473333
17/04/2020,42,14.28313333
17/04/2020,43,10.71766667
17/04/2020,44,13.34813333
17/04/2020,45,12.0142
17/04/2020,46,-1.074288889
17/04/2020,47,-5.009844444
17/04/2020,48,-2.374733333
18/04/2020,1,-14.09584444
18/04/2020,2,-3.606733333
18/04/2020,3,-3.076288889
18/04/2020,4,-2.289177778
18/04/2020,5,-11.35806667
18/04/2020,6,-11.66606667
18/04/2020,7,-18.71584444
18/04/2020,8,-16.3374
18/04/2020,9,-2.888066667
18/04/2020,10,-3.7094
18/04/2020,11,-3.504066667
18/04/2020,12,-4.9414
18/04/2020,13,-18.35651111
18/04/2020,14,-14.91717778
18/04/2020,15,-9.2534
18/04/2020,16,-16.76517778
18/04/2020,17,15.4924
18/04/2020,18,10.28133333
18/04/2020,19,14.8192
18/04/2020,20,14.894
18/04/2020,21,10.56806667
18/04/2020,22,10.1442
18/04/2020,23,8.698066667
18/04/2020,24,8.6108
18/04/2020,25,6.154866667
18/04/2020,26,6.790666667
18/04/2020,27,7.6758
18/04/2020,28,7.463866667
18/04/2020,29,6.715866667
18/04/2020,30,-40.15606667
18/04/2020,31,4.846155556
18/04/2020,32,6.379266667
18/04/2020,33,10.68026667
18/04/2020,34,10.41846667
18/04/2020,35,9.8076
18/04/2020,36,9.795133333
18/04/2020,37,9.097
18/04/2020,38,2.057044444
18/04/2020,39,2.741488889
18/04/2020,40,5.393711111
18/04/2020,41,4.332822222
18/04/2020,42,4.093266667
18/04/2020,43,2.775711111
18/04/2020,44,2.057044444
18/04/2020,45,4.863266667
18/04/2020,46,3.939266667
18/04/2020,47,4.726377778
18/04/2020,48,6.745488889
19/04/2020,1,5.735933333
19/04/2020,2,4.709266667
19/04/2020,3,5.239711111
19/04/2020,4,6.197933333
19/04/2020,5,13.41046667
19/04/2020,6,19.6438
19/04/2020,7,17.41226667
19/04/2020,8,17.44966667
19/04/2020,9,18.57166667
19/04/2020,10,16.81386667
19/04/2020,11,10.75506667
19/04/2020,12,10.71766667
19/04/2020,13,9.9946
19/04/2020,14,8.860133333
19/04/2020,15,-32.74695556
19/04/2020,16,-33.00362222
19/04/2020,17,-31.22406667
19/04/2020,18,-30.28295556
19/04/2020,19,-34.56073333
19/04/2020,20,-35.60451111
19/04/2020,21,-11.44362222
19/04/2020,22,-6.378733333
19/04/2020,23,-3.264511111
19/04/2020,24,-2.511622222
19/04/2020,25,-5.950955556
19/04/2020,26,-14.13006667
19/04/2020,27,-11.95695556
19/04/2020,28,-11.4094
19/04/2020,29,44.20313333
19/04/2020,30,36.23693333
19/04/2020,31,36.83533333
19/04/2020,32,35.0526
19/04/2020,33,21.2894
19/04/2020,34,23.1968
19/04/2020,35,22.01246667
19/04/2020,36,22.32413333
19/04/2020,37,16.3526
19/04/2020,38,15.268
19/04/2020,39,17.4372
19/04/2020,40,18.92073333
19/04/2020,41,89.48206667
19/04/2020,42,19.99286667
19/04/2020,43,18.6714
19/04/2020,44,18.60906667
